cell_line_id,cell_line_name,lineage,primary_disease,oncotree_code
ACH-001136,NCI-H187,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001137,NCI-H1993,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-001138,NCI-H2141,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001145,OC 316,ovary,Ovarian Cancer,"Adenocarcinoma, serous"
ACH-001151,OVCAR-5,ovary,Ovarian Cancer,"Adenocarcinoma, high grade serous"
ACH-001171,,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001182,RPMI 6666,unknown,Unknown,
ACH-001183,,urinary_tract,Bladder Cancer,Carcinoma
ACH-001184,SCMC-RM2,soft_tissue,Sarcoma,Rhabdomyosarcoma
ACH-001188,SH-SY5Y,peripheral_nervous_system,Neuroblastoma,
ACH-001189,,soft_tissue,Sarcoma,Rhabdomyosarcoma
ACH-001190,SK-MEL-2,skin,Skin Cancer,Melanoma
ACH-001192,SK-NEP-1,bone,Bone Cancer,Ewings Sarcoma
ACH-001193,SK-PN-DW,bone,Bone Cancer,Ewings Sarcoma
ACH-001196,SMS-CTR,soft_tissue,Sarcoma,"Rhabdomyosarcoma, embryonal"
ACH-001198,,central_nervous_system,Brain Cancer,Glioblastoma
ACH-001199,SNUC2B,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001203,SUP-HD1,lymphocyte,Lymphoma,"B-cell, Hodgkins"
ACH-001205,TC-32,bone,Bone Cancer,Ewings Sarcoma
ACH-001208,,kidney,Kidney Cancer,
ACH-001210,TTC-1240,soft_tissue,Rhabdoid,Malignant Rhabdoid Tumor
ACH-001211,TTC-549,soft_tissue,Rhabdoid,Malignant Rhabdoid Tumor
ACH-001212,TTC-642,soft_tissue,Rhabdoid,Malignant Rhabdoid Tumor
ACH-001214,,central_nervous_system,Brain Cancer,Glioma
ACH-001227,UPCI-SCC-090,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-001228,,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-001232,,central_nervous_system,Brain Cancer,Medulloblastoma
ACH-001233,VMRC-LCD,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"
ACH-001239,WM-266-4,skin,Skin Cancer,Melanoma
ACH-001249,,breast,Breast Cancer,Breast Ductal Carcinoma
ACH-001270,1273/99,soft_tissue,Sarcoma,Synovial
ACH-001274,SW982,soft_tissue,Sarcoma,Synovial
ACH-001275,SYO1,soft_tissue,Sarcoma,Synovial
ACH-001277,Yamato,soft_tissue,Sarcoma,Synovial
ACH-001278,BIN-67,ovary,Ovarian Cancer,Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT)
ACH-001280,SCS-214,soft_tissue,Sarcoma,Synovial
ACH-001283,TC-106,bone,Bone Cancer,Ewings Sarcoma
ACH-001289,COG-AR-359,soft_tissue,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT)
ACH-001295,Y-79,eye,Eye Cancer,Retinoblastoma
ACH-001300,CHLA15,peripheral_nervous_system,Neuroblastoma,
ACH-001301,COGN278,peripheral_nervous_system,Neuroblastoma,
ACH-001302,COG-N-305,peripheral_nervous_system,Neuroblastoma,
ACH-001303,NB1643,peripheral_nervous_system,Neuroblastoma,
ACH-001306,8305C,thyroid,Thyroid Cancer,Carcinoma
ACH-001307,8505C,thyroid,Thyroid Cancer,Carcinoma
ACH-001318,PLC/PRF/5,liver,Liver Cancer,Hepatocellular Carcinoma
ACH-001321,TT,thyroid,Thyroid Cancer,Squamous Cell Carcinoma
ACH-001322,CME-1,soft_tissue,Sarcoma,Synovial
ACH-001328,A-431,skin,Skin Cancer,Squamous Cell Carcinoma
ACH-001329,ANGM-CSS,central_nervous_system,Brain Cancer,Glioblastoma
ACH-001331,BICR 10,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-001332,BICR 78,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, oral"
ACH-001333,C-33 A,cervix,Cervical Cancer,Carcinoma
ACH-001334,C-4 I,cervix,Cervical Cancer,Carcinoma
ACH-001335,C-4 II,cervix,Cervical Cancer,Carcinoma
ACH-001336,Ca Ski,cervix,Cervical Cancer,Squamous Cell Carcinoma
ACH-001338,CHP-134,peripheral_nervous_system,Neuroblastoma,
ACH-001339,Colo 794,skin,Skin Cancer,Melanoma
ACH-001340,COV413A,ovary,Ovarian Cancer,Carcinoma
ACH-001341,DoTc2 4510,cervix,Cervical Cancer,Cervical Adenocarcinoma
ACH-001344,GI-ME-N,peripheral_nervous_system,Neuroblastoma,
ACH-001345,GP5d,colorectal,Colon/Colorectal Cancer,Adenocarcinoma
ACH-001346,H103,upper_aerodigestive,Head and Neck Cancer,"Squamous Cell Carcinoma, buccal mucosa"
ACH-001350,HTC-C3,thyroid,Thyroid Cancer,"Carcinoma, giant cell"
ACH-001353,JOPACA-1,pancreas,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine"
ACH-001354,LAN-2,peripheral_nervous_system,Neuroblastoma,
ACH-001355,LAN-6,peripheral_nervous_system,Neuroblastoma,
ACH-001358,MDA-MB-330,breast,Breast Cancer,Carcinoma
ACH-001359,ME-180,cervix,Cervical Cancer,Squamous Cell Carcinoma
ACH-001360,MS751,cervix,Cervical Cancer,Squamous Cell Carcinoma
ACH-001362,NCI-H1770,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified"
ACH-001363,NCI-H2135,lung,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified"
ACH-001364,NCI-H345,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001365,NCI-H847,lung,Lung Cancer,Small Cell Lung Cancer (SCLC)
ACH-001367,NMB,peripheral_nervous_system,Neuroblastoma,
ACH-001368,OAC-M5.1,esophagus,Esophageal Cancer,Adenocarcinoma
ACH-001369,OCI-C5x,ovary,Ovarian Cancer,"Adenocarcinoma, clear cell"
ACH-001373,OV17R,ovary,Ovarian Cancer,Adenocarcinoma
