gene_name,cell_type,mean_effect,n_cell_lines
AFF2,T_cell_CD8,0.04301,5
AFF3,T_cell_CD8,-0.09453,5
AFF4,T_cell_CD8,-0.10629,5
AFG1L,T_cell_CD8,-0.05332,5
AFG3L2,T_cell_CD8,-0.78258,5
AFM,T_cell_CD8,0.16881,5
AFMID,T_cell_CD8,-0.0392,5
AFP,T_cell_CD8,0.10062,5
AFTPH,T_cell_CD8,-0.08795,5
AGA,T_cell_CD8,0.0242,5
AGAP1,T_cell_CD8,-0.21306,5
AGAP2,T_cell_CD8,-0.29573,5
AGAP3,T_cell_CD8,-0.11435,5
AGAP5,T_cell_CD8,-0.73396,5
AGAP6,T_cell_CD8,-0.89334,5
AGAP9,T_cell_CD8,-0.23029,5
AGBL1,T_cell_CD8,0.05083,5
AGBL2,T_cell_CD8,-0.01642,5
AGBL3,T_cell_CD8,-0.03323,5
AGBL4,T_cell_CD8,-0.04372,5
AGBL5,T_cell_CD8,-0.25675,5
AGER,T_cell_CD8,0.0828,5
AGFG1,T_cell_CD8,-0.1593,5
AGFG2,T_cell_CD8,-0.08991,5
AGGF1,T_cell_CD8,0.22311,5
AGK,T_cell_CD8,0.18078,5
AGL,T_cell_CD8,0.05771,5
AGMAT,T_cell_CD8,-0.17454,5
AGMO,T_cell_CD8,0.01605,5
AGO1,T_cell_CD8,-0.22425,5
AGO2,T_cell_CD8,-0.00372,5
AGO3,T_cell_CD8,-0.17542,5
AGO4,T_cell_CD8,-0.04468,5
AGPAT1,T_cell_CD8,-0.03578,5
AGPAT2,T_cell_CD8,0.09379,5
AGPAT3,T_cell_CD8,-0.05404,5
AGPAT4,T_cell_CD8,-0.09852,5
AGPAT5,T_cell_CD8,-0.01587,5
AGPS,T_cell_CD8,-0.0992,5
AGR2,T_cell_CD8,0.05946,5
AGR3,T_cell_CD8,0.11596,5
AGRN,T_cell_CD8,-0.24216,5
AGRP,T_cell_CD8,-0.06935,5
AGT,T_cell_CD8,-0.03489,5
AGTPBP1,T_cell_CD8,0.23759,5
AGTR1,T_cell_CD8,0.03843,5
AGTR2,T_cell_CD8,0.05236,5
AGTRAP,T_cell_CD8,0.05583,5
AGXT,T_cell_CD8,-0.08925,5
AGXT2,T_cell_CD8,0.01904,5
AHCTF1,T_cell_CD8,-1.22667,5
AHCY,T_cell_CD8,-1.55561,5
AHCYL1,T_cell_CD8,-0.34036,5
AHCYL2,T_cell_CD8,-0.10389,5
AHDC1,T_cell_CD8,-0.21972,5
AHI1,T_cell_CD8,-0.06324,5
AHNAK,T_cell_CD8,-0.15696,5
AHNAK2,T_cell_CD8,0.03798,5
AHR,T_cell_CD8,-0.0909,5
AHRR,T_cell_CD8,-0.15915,5
AHSA1,T_cell_CD8,-0.07108,5
AHSG,T_cell_CD8,0.01981,5
AHSP,T_cell_CD8,-0.02927,5
AICDA,T_cell_CD8,-0.05022,5
AIDA,T_cell_CD8,0.04335,5
AIF1,T_cell_CD8,-0.03328,5
AIF1L,T_cell_CD8,-0.11665,5
AIFM1,T_cell_CD8,-0.52679,5
AIFM2,T_cell_CD8,-0.05172,5
AIFM3,T_cell_CD8,-0.10246,5
AIG1,T_cell_CD8,-0.12678,5
AIM2,T_cell_CD8,-0.01714,5
AIMP1,T_cell_CD8,0.0385,5
AIMP2,T_cell_CD8,-0.15844,5
AIP,T_cell_CD8,-0.1985,5
AIPL1,T_cell_CD8,-0.04597,5
AIRE,T_cell_CD8,-0.03328,5
AJAP1,T_cell_CD8,0.14538,5
AJM1,T_cell_CD8,-0.04799,5
AJUBA,T_cell_CD8,-0.13584,5
AK1,T_cell_CD8,-0.32565,5
AK2,T_cell_CD8,-0.06555,5
AK3,T_cell_CD8,-0.02594,5
AK4,T_cell_CD8,-0.45972,5
AK5,T_cell_CD8,0.05401,5
AK6,T_cell_CD8,-1.26566,5
AK7,T_cell_CD8,-0.16397,5
AK8,T_cell_CD8,0.00986,5
AK9,T_cell_CD8,0.05329,5
AKAIN1,T_cell_CD8,0.18679,5
AKAP1,T_cell_CD8,-0.19312,5
AKAP10,T_cell_CD8,0.06872,5
AKAP11,T_cell_CD8,0.0616,5
AKAP12,T_cell_CD8,-0.08818,5
AKAP13,T_cell_CD8,-0.05772,5
AKAP14,T_cell_CD8,0.12906,5
AKAP17A,T_cell_CD8,-0.04598,5
AKAP3,T_cell_CD8,0.07492,5
AKAP4,T_cell_CD8,0.10141,5
AKAP5,T_cell_CD8,0.06401,5
AKAP6,T_cell_CD8,0.10211,5
AKAP7,T_cell_CD8,-0.0295,5
AKAP8,T_cell_CD8,-0.07905,5
AKAP8L,T_cell_CD8,-0.07777,5
AKAP9,T_cell_CD8,-0.02382,5
AKIP1,T_cell_CD8,-0.15696,5
AKIRIN1,T_cell_CD8,-0.22074,5
AKIRIN2,T_cell_CD8,-0.7589,5
AKNA,T_cell_CD8,0.1206,5
AKNAD1,T_cell_CD8,0.03212,5
AKR1A1,T_cell_CD8,-0.03414,5
AKR1B1,T_cell_CD8,0.08976,5
AKR1B10,T_cell_CD8,-0.04803,5
AKR1B15,T_cell_CD8,-0.03983,5
AKR1C2,T_cell_CD8,0.18299,5
AKR1C3,T_cell_CD8,-0.01867,5
AKR1C4,T_cell_CD8,0.00471,5
AKR1D1,T_cell_CD8,-0.08978,5
AKR1E2,T_cell_CD8,-0.00772,5
AKR7A2,T_cell_CD8,-0.08671,5
AKR7A3,T_cell_CD8,-0.48844,5
AKT1,T_cell_CD8,-0.15572,5
AKT1S1,T_cell_CD8,0.00467,5
AKT2,T_cell_CD8,-0.16014,5
AKT3,T_cell_CD8,0.13249,5
AKTIP,T_cell_CD8,-0.12319,5
ALAD,T_cell_CD8,-0.41077,5
ALAS1,T_cell_CD8,-0.44012,5
ALAS2,T_cell_CD8,0.17293,5
ALB,T_cell_CD8,0.13855,5
ALCAM,T_cell_CD8,0.02208,5
ALDH16A1,T_cell_CD8,-0.01364,5
ALDH18A1,T_cell_CD8,-0.21902,5
ALDH1A1,T_cell_CD8,0.08078,5
ALDH1A2,T_cell_CD8,0.01129,5
ALDH1A3,T_cell_CD8,0.08515,5
ALDH1B1,T_cell_CD8,-0.10444,5
ALDH1L1,T_cell_CD8,-0.09574,5
ALDH1L2,T_cell_CD8,-0.06435,5
ALDH2,T_cell_CD8,0.05281,5
ALDH3A1,T_cell_CD8,-0.11988,5
ALDH3A2,T_cell_CD8,-0.05332,5
ALDH3B2,T_cell_CD8,-0.10299,5
ALDH4A1,T_cell_CD8,-0.08258,5
ALDH5A1,T_cell_CD8,-0.12623,5
ALDH6A1,T_cell_CD8,-0.19185,5
ALDH7A1,T_cell_CD8,-0.16379,5
ALDH8A1,T_cell_CD8,-0.12484,5
ALDH9A1,T_cell_CD8,0.15818,5
ALDOA,T_cell_CD8,-1.24837,5
ALDOB,T_cell_CD8,-0.03264,5
ALDOC,T_cell_CD8,-0.16624,5
ALG1,T_cell_CD8,-1.04217,5
ALG10,T_cell_CD8,-0.09855,5
ALG10B,T_cell_CD8,-0.15492,5
ALG11,T_cell_CD8,-1.22998,5
ALG12,T_cell_CD8,-0.24646,5
ALG13,T_cell_CD8,-1.27143,5
ALG14,T_cell_CD8,-0.95616,5
ALG1L,T_cell_CD8,-1.63956,5
ALG2,T_cell_CD8,-1.09758,5
ALG3,T_cell_CD8,-0.06955,5
ALG5,T_cell_CD8,-0.05368,5
ALG6,T_cell_CD8,-0.07068,5
ALG8,T_cell_CD8,-0.17471,5
ALG9,T_cell_CD8,-0.01932,5
ALK,T_cell_CD8,-0.0963,5
ALKAL1,T_cell_CD8,0.0783,5
ALKAL2,T_cell_CD8,0.07237,5
ALKBH1,T_cell_CD8,-0.06937,5
ALKBH2,T_cell_CD8,0.06914,5
ALKBH3,T_cell_CD8,-0.01001,5
ALKBH4,T_cell_CD8,-0.15821,5
ALKBH5,T_cell_CD8,-0.18038,5
ALKBH6,T_cell_CD8,0.08327,5
ALKBH7,T_cell_CD8,0.0443,5
ALKBH8,T_cell_CD8,0.05971,5
ALLC,T_cell_CD8,-0.07353,5
ALMS1,T_cell_CD8,0.0115,5
ALOX12,T_cell_CD8,0.02077,5
ALOX12B,T_cell_CD8,-0.1103,5
ALOX15,T_cell_CD8,-0.08959,5
ALOX15B,T_cell_CD8,0.04896,5
ALOX5,T_cell_CD8,-0.05959,5
ALOX5AP,T_cell_CD8,0.04382,5
ALOXE3,T_cell_CD8,-0.15456,5
ALPG,T_cell_CD8,0.02704,5
ALPI,T_cell_CD8,0.09438,5
ALPK1,T_cell_CD8,0.05135,5
ALPK2,T_cell_CD8,0.06173,5
ALPK3,T_cell_CD8,0.01783,5
ALPL,T_cell_CD8,-0.00869,5
ALPP,T_cell_CD8,0.10343,5
ALS2,T_cell_CD8,0.05253,5
ALS2CL,T_cell_CD8,-0.13891,5
ALX1,T_cell_CD8,0.00331,5
ALX3,T_cell_CD8,-0.15124,5
ALX4,T_cell_CD8,-0.07378,5
ALYREF,T_cell_CD8,-0.70796,5
AMACR,T_cell_CD8,-0.07836,5
